age,task_category,difficulty,points,past_completion_rate,current_streak,total_tasks_assigned,day_of_week,time_of_day,performance_level,streak_x_completion,age_x_difficulty,points_x_completion,success
15,1,0,45,0.24,4,95,0,21,2,0.96,0,10.799999999999999,1
16,8,0,95,0.42,0,12,1,7,4,0.0,0,39.9,1
13,9,0,90,0.2,20,90,4,13,2,4.0,0,18.0,1
8,7,2,45,0.81,0,98,6,5,8,0.0,16,36.45,1
16,6,1,45,0.16,30,98,2,3,1,4.8,16,7.2,1
6,6,0,60,0.85,19,34,6,1,8,16.15,0,51.0,1
16,7,2,20,0.97,12,11,4,9,9,11.64,32,19.4,1
15,9,1,95,0.19,2,6,5,7,1,0.38,15,18.05,0
6,3,0,65,0.28,20,47,1,11,2,5.6000000000000005,0,18.200000000000003,1
10,3,2,45,0.7,21,83,0,19,7,14.7,20,31.499999999999996,1
15,2,2,40,0.16,12,35,5,22,1,1.92,30,6.4,0
13,3,2,55,0.84,24,8,1,1,8,20.16,26,46.199999999999996,1
17,5,1,45,0.07,29,73,5,10,0,2.0300000000000002,17,3.1500000000000004,1
8,7,1,75,0.14,4,32,5,17,1,0.56,8,10.500000000000002,0
13,4,2,95,0.43,18,52,2,7,4,7.74,26,40.85,0
7,8,1,15,0.76,27,15,1,20,7,20.52,7,11.4,1
7,6,2,15,0.38,19,60,4,8,3,7.22,14,5.7,0
13,0,2,20,0.68,17,97,2,20,6,11.56,26,13.600000000000001,1
10,1,1,70,0.16,0,93,5,8,1,0.0,10,11.200000000000001,0
13,2,2,20,0.87,9,82,4,19,8,7.83,26,17.4,1
8,2,1,30,0.54,24,68,0,19,5,12.96,8,16.200000000000003,1
10,7,0,20,0.93,28,40,1,1,9,26.040000000000003,0,18.6,1
8,9,0,15,0.73,26,9,6,17,7,18.98,0,10.95,1
17,2,0,80,0.95,5,34,4,19,9,4.75,0,76.0,1
11,3,2,35,0.71,12,86,5,11,7,8.52,22,24.849999999999998,1
12,8,1,20,0.25,2,44,0,18,2,0.5,12,5.0,0
13,3,2,40,0.01,22,81,0,7,0,0.22,26,0.4,0
6,0,1,15,0.51,8,86,3,6,5,4.08,6,7.65,1
13,2,2,95,0.58,7,61,6,13,5,4.06,26,55.099999999999994,1
8,1,0,70,0.35,13,60,6,23,3,4.55,0,24.5,1
5,1,0,65,0.73,25,14,1,6,7,18.25,0,47.449999999999996,1
8,8,1,25,0.42,8,60,1,2,4,3.36,8,10.5,1
12,8,0,10,0.65,17,2,0,7,6,11.05,0,6.5,1
7,6,1,80,0.21,12,8,1,12,2,2.52,7,16.8,0
5,6,1,75,0.29,22,94,6,17,2,6.38,5,21.75,1
15,7,0,35,0.3,30,8,4,23,3,9.0,0,10.5,1
13,0,2,55,0.06,18,62,4,16,0,1.08,26,3.3,0
7,0,2,15,0.85,2,77,0,21,8,1.7,14,12.75,1
8,6,0,95,0.25,19,6,4,2,2,4.75,0,23.75,1
11,9,2,85,0.32,8,27,5,22,3,2.56,22,27.2,0
10,3,1,65,0.13,20,39,3,10,1,2.6,10,8.450000000000001,0
6,0,1,100,1.0,3,10,4,6,9,3.0,6,100.0,1
13,4,0,60,0.88,28,32,2,9,8,24.64,0,52.8,1
7,7,2,50,0.61,25,84,4,0,6,15.25,14,30.5,1
15,8,1,20,0.94,4,34,0,3,9,3.76,15,18.799999999999997,1
16,8,0,45,0.28,6,92,2,6,2,1.6800000000000002,0,12.600000000000001,1
15,4,2,80,0.25,29,7,0,20,2,7.25,30,20.0,0
11,4,0,5,0.33,4,82,2,5,3,1.32,0,1.6500000000000001,1
16,7,2,70,0.56,3,10,5,4,5,1.6800000000000002,32,39.2,1
13,0,1,95,0.55,13,17,0,9,5,7.15,13,52.25000000000001,1
10,0,1,35,0.68,21,14,2,17,6,14.280000000000001,10,23.8,1
11,9,2,25,0.93,7,21,6,5,9,6.510000000000001,22,23.25,1
11,0,0,55,0.78,13,86,6,23,7,10.14,0,42.9,1
17,3,1,30,0.79,3,49,6,1,7,2.37,17,23.700000000000003,1
12,3,0,75,0.35,26,30,1,0,3,9.1,0,26.25,1
15,3,1,55,0.28,2,99,2,11,2,0.56,15,15.400000000000002,1
15,8,1,90,0.33,0,15,2,5,3,0.0,15,29.700000000000003,1
14,4,0,20,0.6,11,94,6,10,6,6.6,0,12.0,1
11,9,2,20,0.39,18,25,2,1,3,7.0200000000000005,22,7.800000000000001,0
16,6,0,85,0.93,17,88,5,23,9,15.81,0,79.05,1
16,3,1,70,0.07,21,43,4,10,0,1.4700000000000002,16,4.9,0
6,4,2,50,0.67,10,52,5,9,6,6.7,12,33.5,1
13,2,0,70,0.66,12,87,5,5,6,7.92,0,46.2,1
14,9,1,65,0.55,0,39,2,6,5,0.0,14,35.75,1
11,9,2,55,0.46,14,87,1,16,4,6.44,22,25.3,1
12,2,2,15,0.28,21,82,4,10,2,5.880000000000001,24,4.2,0
6,3,2,50,0.22,6,19,0,1,2,1.32,12,11.0,0
8,7,2,15,0.46,28,81,4,6,4,12.88,16,6.9,1
16,6,1,65,0.24,20,89,0,3,2,4.8,16,15.6,1
17,6,0,30,0.8,22,67,3,1,8,17.6,0,24.0,1
13,3,0,75,0.13,14,86,4,17,1,1.82,0,9.75,1
14,5,1,100,0.82,28,65,3,17,8,22.959999999999997,14,82.0,1
12,2,2,80,0.45,24,32,6,20,4,10.8,24,36.0,1
9,8,1,40,0.27,2,92,2,7,2,0.54,9,10.8,1
10,8,0,25,0.15,12,89,1,22,1,1.7999999999999998,0,3.75,1
8,1,1,70,0.33,14,54,0,6,3,4.62,8,23.1,1
11,6,2,5,0.86,24,74,3,15,8,20.64,22,4.3,1
5,5,1,65,0.85,30,54,4,23,8,25.5,5,55.25,1
16,8,2,40,0.49,8,56,3,0,4,3.92,32,19.6,1
11,5,2,65,0.72,26,60,1,19,7,18.72,22,46.8,1
13,0,1,95,0.56,0,11,5,13,5,0.0,13,53.2,1
7,7,0,10,0.26,10,28,3,10,2,2.6,0,2.6,1
10,6,1,70,0.25,2,61,0,23,2,0.5,10,17.5,0
10,3,2,15,0.78,20,6,6,0,7,15.600000000000001,20,11.700000000000001,1
8,3,0,100,0.15,4,61,5,3,1,0.6,0,15.0,1
14,3,1,45,0.77,5,78,4,23,7,3.85,14,34.65,1
16,1,0,50,0.11,0,40,4,21,1,0.0,0,5.5,1
11,6,2,35,0.08,22,81,1,3,0,1.76,22,2.8000000000000003,0
16,4,2,100,0.81,25,73,6,1,8,20.25,32,81.0,1
10,8,1,60,0.07,20,44,0,13,0,1.4000000000000001,10,4.2,0
12,1,1,60,0.64,26,59,5,4,6,16.64,12,38.4,1
11,2,2,85,0.97,8,79,6,17,9,7.76,22,82.45,1
17,7,1,70,0.83,18,35,2,7,8,14.94,17,58.099999999999994,1
6,4,1,40,0.75,18,79,5,12,7,13.5,6,30.0,1
10,0,1,55,0.18,6,46,6,8,1,1.08,10,9.9,0
10,4,2,45,0.56,16,25,0,7,5,8.96,20,25.200000000000003,0
12,8,0,80,0.65,15,58,6,0,6,9.75,0,52.0,1
6,4,0,65,0.69,9,85,4,11,6,6.209999999999999,0,44.849999999999994,1
12,8,2,60,0.43,23,71,2,11,4,9.89,24,25.8,1
16,7,1,50,0.25,3,93,1,10,2,0.75,16,12.5,1
6,8,2,30,0.19,23,62,2,23,1,4.37,12,5.7,0
14,8,2,50,0.98,26,25,2,7,9,25.48,28,49.0,1
10,2,1,5,0.71,4,36,0,1,7,2.84,10,3.55,1
13,4,2,25,0.64,24,63,0,0,6,15.36,26,16.0,1
14,4,1,80,0.44,5,7,2,15,4,2.2,14,35.2,1
6,1,1,80,0.07,20,88,0,4,0,1.4000000000000001,6,5.6000000000000005,0
7,9,1,15,0.99,3,72,6,13,9,2.9699999999999998,7,14.85,1
14,9,2,40,0.78,12,58,3,9,7,9.36,28,31.200000000000003,1
14,6,1,95,0.62,19,95,0,6,6,11.78,14,58.9,1
15,3,1,15,0.16,5,71,0,5,1,0.8,15,2.4,0
5,6,1,100,0.47,1,30,2,22,4,0.47,5,47.0,1
9,7,0,40,0.92,25,81,4,21,9,23.0,0,36.800000000000004,1
17,3,1,20,0.54,20,20,2,4,5,10.8,17,10.8,1
6,0,0,50,0.6,26,73,2,14,6,15.6,0,30.0,1
6,7,2,50,0.7,30,35,4,17,7,21.0,12,35.0,1
